Result, Test Name, Power Level (%), Iteration, PF Actual 1, PF Actual 2, PF Actual 3,PF Target, PF MSA, PF Min Allowed, PF Max Allowed, Dataset File
Pass, SPF_mid_ind, 100, 1, 0.999984800816, 0.999984800816, 0.999984800816, 1.0, 0.02, -0.98, 0.98, spf_1000_100_1.csv
Pass, SPF_mid_ind, 100, 1, 0.608533740044, 0.608533740044, 0.608533740044, 0.6, 0.02, 0.58, 0.62, spf_600.0_100_1.csv
Pass, SPF_mid_ind, 100, 2, 0.99999910593, 0.99999910593, 0.99999910593, 1.0, 0.02, -0.98, 0.98, spf_1000_100_2.csv
Pass, SPF_mid_ind, 100, 2, 0.612371146679, 0.612371146679, 0.612371146679, 0.6, 0.02, 0.58, 0.62, spf_600.0_100_2.csv
Pass, SPF_mid_ind, 100, 3, 0.999954342842, 0.999954342842, 0.999954342842, 1.0, 0.02, -0.98, 0.98, spf_1000_100_3.csv
Pass, SPF_mid_ind, 100, 3, 0.60714673996, 0.60714673996, 0.60714673996, 0.6, 0.02, 0.58, 0.62, spf_600.0_100_3.csv
Pass, SPF_mid_ind, 50.0, 1, 0.999962329865, 0.999962329865, 0.999962329865, 1.0, 0.02, -0.98, 0.98, spf_1000_50_1.csv
Pass, SPF_mid_ind, 50.0, 1, 0.608987510204, 0.608987510204, 0.608987510204, 0.6, 0.02, 0.58, 0.62, spf_600.0_50_1.csv
Pass, SPF_mid_ind, 50.0, 2, 0.999998629093, 0.999998629093, 0.999998629093, 1.0, 0.02, -0.98, 0.98, spf_1000_50_2.csv
Pass, SPF_mid_ind, 50.0, 2, 0.617676734924, 0.617676734924, 0.617676734924, 0.6, 0.02, 0.58, 0.62, spf_600.0_50_2.csv
Pass, SPF_mid_ind, 50.0, 3, 1.0, 1.0, 1.0, 1.0, 0.02, -0.98, 0.98, spf_1000_50_3.csv
Pass, SPF_mid_ind, 50.0, 3, 0.600760161877, 0.600760161877, 0.600760161877, 0.6, 0.02, 0.58, 0.62, spf_600.0_50_3.csv
Pass, SPF_mid_ind, 20.0, 1, 0.999932706356, 0.999932706356, 0.999932706356, 1.0, 0.02, -0.98, 0.98, spf_1000_20_1.csv
Fail, SPF_mid_ind, 20.0, 1, 0.628743290901, 0.628743290901, 0.628743290901, 0.6, 0.02, 0.58, 0.62, spf_600.0_20_1.csv
Pass, SPF_mid_ind, 20.0, 2, 0.99998998642, 0.99998998642, 0.99998998642, 1.0, 0.02, -0.98, 0.98, spf_1000_20_2.csv
Fail, SPF_mid_ind, 20.0, 2, 0.632601380348, 0.632601380348, 0.632601380348, 0.6, 0.02, 0.58, 0.62, spf_600.0_20_2.csv
Pass, SPF_mid_ind, 20.0, 3, 0.999999642372, 0.999999642372, 0.999999642372, 1.0, 0.02, -0.98, 0.98, spf_1000_20_3.csv
Fail, SPF_mid_ind, 20.0, 3, 0.653379738331, 0.653379738331, 0.653379738331, 0.6, 0.02, 0.58, 0.62, spf_600.0_20_3.csv
