Result, Test Name, Power Priority, Power Level, Iteration, Var MSA, Dataset File,Point Result, Var Actual, Var Target, Var Min Allowed, Var Max Allowed
, , , , , , , Pass, -1798.017, -1800.0, -2200.0, -1400.0
, , , , , , , Pass, -1795.862, -1800.0, -2200.0, -1400.0
, , , , , , , Pass, -1781.431, -1800.0, -2200.0, -1400.0
, , , , , , , Pass, -1777.758, -1693.5, -2200.0, -543.5
, , , , , , , Pass, -1788.372, -1270.5, -2200.0, -120.5
, , , , , , , Pass, -1774.749, -852.7, -2002.7, 297.2
, , , , , , , Fail, -1775.945, -371.3, -1521.3, 400.0
, , , , , , , Fail, -1775.292, 0.0, -1069.0, 400.0
, , , , , , , Fail, -1777.685, 0.0, -400.0, 400.0
, , , , , , , Fail, -1487.839, 0.0, -400.0, 400.0
, , , , , , , Fail, -796.828, 0.0, -400.0, 400.0
, , , , , , , Pass, -209.702, 0.0, -400.0, 1033.7
, , , , , , , Pass, -196.822, 304.5, -400.0, 1454.5
, , , , , , , Pass, -205.232, 728.3, -400.0, 1878.2
, , , , , , , Fail, -196.822, 1215.7, 65.7, 2200.0
, , , , , , , Fail, -193.821, 1704.7, 554.7, 2200.0
, , , , , , , Pass, 1435.331, 1800.0, 1400.0, 2200.0
, , , , , , , Pass, 1443.316, 1800.0, 1400.0, 2200.0
, , , , , , , Pass, 1443.214, 1800.0, 1400.0, 2200.0
Fail, VV_1_100_down_1, Reactive, 100.0, 3, 400.0, VV_1_100_down_1.csv, , , , , 
, , , , , , , Pass, 1444.119, 1800.0, 1400.0, 2200.0
, , , , , , , Pass, 1438.051, 1800.0, 1400.0, 2200.0
, , , , , , , Pass, 1430.972, 1800.0, 1400.0, 2200.0
, , , , , , , Fail, -198.129, 1711.5, 561.5, 2200.0
, , , , , , , Fail, -201.67, 1238.2, 88.2, 2200.0
, , , , , , , Pass, -208.944, 846.7, -303.3, 1996.7
, , , , , , , Pass, -205.466, 356.2, -400.0, 1506.2
, , , , , , , Pass, -199.855, 0.0, -400.0, 1031.5
, , , , , , , Fail, -800.872, 0.0, -400.0, 400.0
, , , , , , , Fail, -1466.605, 0.0, -400.0, 400.0
, , , , , , , Fail, -1788.035, 0.0, -400.0, 400.0
, , , , , , , Fail, -1776.809, 0.0, -1066.0, 400.0
, , , , , , , Fail, -1786.135, -354.0, -1504.0, 400.0
, , , , , , , Pass, -1784.239, -801.0, -1951.0, 349.0
, , , , , , , Pass, -1786.214, -1272.7, -2200.0, -122.8
, , , , , , , Pass, -1786.122, -1694.2, -2200.0, -544.2
, , , , , , , Pass, -1784.56, -1800.0, -2200.0, -1400.0
, , , , , , , Pass, -1792.41, -1800.0, -2200.0, -1400.0
, , , , , , , Pass, -1794.936, -1800.0, -2200.0, -1400.0
Fail, VV_1_100_up_1, Reactive, 100.0, 3, 400.0, VV_1_100_up_1.csv, , , , , 
, , , , , , , Pass, -1802.445, -1800.0, -2200.0, -1400.0
, , , , , , , Pass, -1789.701, -1800.0, -2200.0, -1400.0
