Result, Test Name, Power Level (%), Iteration, PF Actual 1, PF Actual 2, PF Actual 3,PF Target, PF MSA, PF Min Allowed, PF Max Allowed, Dataset File
Pass, SPF_min_cap, 100, 1, 0.999998807907, 0.999998807907, 0.999998807907, 1.0, 0.02, -0.98, 0.98, spf_1000_100_1.csv
Fail, SPF_min_cap, 100, 1, 0.241206675768, 0.241206675768, 0.241206675768, -0.2, 0.02, -0.22, -0.18, spf_-200.0_100_1.csv
Pass, SPF_min_cap, 100, 2, 0.999992668629, 0.999992668629, 0.999992668629, 1.0, 0.02, -0.98, 0.98, spf_1000_100_2.csv
Fail, SPF_min_cap, 100, 2, 0.239967420697, 0.239967420697, 0.239967420697, -0.2, 0.02, -0.22, -0.18, spf_-200.0_100_2.csv
Pass, SPF_min_cap, 100, 3, 0.999999880791, 0.999999880791, 0.999999880791, 1.0, 0.02, -0.98, 0.98, spf_1000_100_3.csv
Fail, SPF_min_cap, 100, 3, 0.238231807947, 0.238231807947, 0.238231807947, -0.2, 0.02, -0.22, -0.18, spf_-200.0_100_3.csv
Pass, SPF_min_cap, 50.0, 1, 0.999969959259, 0.999969959259, 0.999969959259, 1.0, 0.02, -0.98, 0.98, spf_1000_50_1.csv
Fail, SPF_min_cap, 50.0, 1, 0.24214951694, 0.24214951694, 0.24214951694, -0.2, 0.02, -0.22, -0.18, spf_-200.0_50_1.csv
Pass, SPF_min_cap, 50.0, 2, 0.999998629093, 0.999998629093, 0.999998629093, 1.0, 0.02, -0.98, 0.98, spf_1000_50_2.csv
Fail, SPF_min_cap, 50.0, 2, 0.234122276306, 0.234122276306, 0.234122276306, -0.2, 0.02, -0.22, -0.18, spf_-200.0_50_2.csv
Pass, SPF_min_cap, 50.0, 3, 0.999999403954, 0.999999403954, 0.999999403954, 1.0, 0.02, -0.98, 0.98, spf_1000_50_3.csv
Fail, SPF_min_cap, 50.0, 3, 0.241375550628, 0.241375550628, 0.241375550628, -0.2, 0.02, -0.22, -0.18, spf_-200.0_50_3.csv
Pass, SPF_min_cap, 20.0, 1, 0.999935984612, 0.999935984612, 0.999935984612, 1.0, 0.02, -0.98, 0.98, spf_1000_20_1.csv
Fail, SPF_min_cap, 20.0, 1, 0.235066458583, 0.235066458583, 0.235066458583, -0.2, 0.02, -0.22, -0.18, spf_-200.0_20_1.csv
Pass, SPF_min_cap, 20.0, 2, 0.999807834625, 0.999807834625, 0.999807834625, 1.0, 0.02, -0.98, 0.98, spf_1000_20_2.csv
Fail, SPF_min_cap, 20.0, 2, 0.215356752276, 0.215356752276, 0.215356752276, -0.2, 0.02, -0.22, -0.18, spf_-200.0_20_2.csv
Pass, SPF_min_cap, 20.0, 3, 0.999999821186, 0.999999821186, 0.999999821186, 1.0, 0.02, -0.98, 0.98, spf_1000_20_3.csv
Fail, SPF_min_cap, 20.0, 3, 0.229523658752, 0.229523658752, 0.229523658752, -0.2, 0.02, -0.22, -0.18, spf_-200.0_20_3.csv
