Result, Test Name, Power Priority, Power Level, Iteration, Var MSA, Dataset File,Point Result 1, Var Actual 1, Var Target 1, Var Min Allowed 1, Var Max Allowed 1,Point Result 2, Var Actual 2, Var Target 2, Var Min Allowed 2, Var Max Allowed 2,Point Result 3, Var Actual 3, Var Target 3, Var Min Allowed 3, Var Max Allowed 3
, , , , , , , Pass, -5756.29036458, -5750.0, -6250.0, -5250.0, Pass, -5756.29036458, -5750.0, -6250.0, -5250.0, Pass, -5756.29036458, -5750.0, -6250.0, -5250.0
, , , , , , , Pass, -5810.37434896, -5750.0, -6250.0, -5250.0, Pass, -5810.37434896, -5750.0, -6250.0, -5250.0, Pass, -5810.37434896, -5750.0, -6250.0, -5250.0
, , , , , , , Pass, -5830.49674479, -5750.0, -6250.0, -5250.0, Pass, -5830.49674479, -5750.0, -6250.0, -5250.0, Pass, -5830.49674479, -5750.0, -6250.0, -5250.0
, , , , , , , Pass, -3898.5406901, -5716.76666667, -6250.0, -3550.1, Pass, -3898.5406901, -5748.4, -6250.0, -3581.73333333, Pass, -3898.5406901, -5750.0, -6250.0, -3590.7
, , , , , , , Pass, -2815.51822917, -4305.0, -6250.0, -2138.33333333, Pass, -2815.51822917, -4325.43333333, -6250.0, -2158.76666667, Pass, -2815.51822917, -4336.26666667, -6250.0, -2169.6
, , , , , , , Pass, -1666.6554362, -2861.66666667, -5028.33333333, -695.0, Pass, -1666.6554362, -2887.66666667, -5054.33333333, -721.0, Pass, -1666.6554362, -2896.8, -5063.46666667, -730.133333333
, , , , , , , Pass, -716.401611328, -1438.4, -3605.06666667, 500.0, Pass, -716.401611328, -1459.06666667, -3625.73333333, 500.0, Pass, -716.401611328, -1468.33333333, -3635.0, 500.0
, , , , , , , Pass, 12.0817654928, 0.0, -2164.93333333, 500.0, Pass, 12.0817654928, -18.9, -2185.56666667, 500.0, Pass, 12.0817654928, -28.0, -2194.66666667, 500.0
, , , , , , , Pass, -13.4159978231, 0.0, -500.0, 500.0, Pass, -13.4159978231, 0.0, -500.0, 500.0, Pass, -13.4159978231, 0.0, -500.0, 500.0
, , , , , , , Pass, 9.57497723897, 0.0, -500.0, 500.0, Pass, 9.57497723897, 0.0, -500.0, 500.0, Pass, 9.57497723897, 0.0, -500.0, 500.0
, , , , , , , Pass, 269.274312337, 0.0, -500.0, 500.0, Pass, 269.274312337, 0.0, -500.0, 500.0, Pass, 269.274312337, 0.0, -500.0, 500.0
, , , , , , , Fail, 2253.0139974, 0.0, -500.0, 2157.6, Fail, 2253.0139974, 0.0, -500.0, 2141.66666667, Fail, 2253.0139974, 0.0, -500.0, 2135.03333333
, , , , , , , Pass, 3235.15657552, 1418.0, -500.0, 3584.66666667, Pass, 3235.15657552, 1404.93333333, -500.0, 3571.6, Pass, 3235.15657552, 1398.5, -500.0, 3565.16666667
