Result, Test Name, Power Level (%), Iteration, PF Actual 1, PF Actual 2, PF Actual 3,PF Target, PF MSA, PF Min Allowed, PF Max Allowed, Dataset File
Pass, SPF_mid_cap, 100, 1, 0.999999284744, 0.999999284744, 0.999999284744, 1.0, 0.02, -0.98, 0.98, spf_1000_100_1.csv
Fail, SPF_mid_cap, 100, 1, 0.612694501877, 0.612694501877, 0.612694501877, -0.6, 0.02, -0.62, -0.58, spf_-600.0_100_1.csv
Pass, SPF_mid_cap, 100, 2, 0.999991595745, 0.999991595745, 0.999991595745, 1.0, 0.02, -0.98, 0.98, spf_1000_100_2.csv
Fail, SPF_mid_cap, 100, 2, 0.599468290806, 0.599468290806, 0.599468290806, -0.6, 0.02, -0.62, -0.58, spf_-600.0_100_2.csv
Fail, SPF_mid_cap, 100, 3, 0.602593123913, 0.602593123913, 0.602593123913, 1.0, 0.02, -0.98, 0.98, spf_1000_100_3.csv
Fail, SPF_mid_cap, 100, 3, 0.601461350918, 0.601461350918, 0.601461350918, -0.6, 0.02, -0.62, -0.58, spf_-600.0_100_3.csv
Pass, SPF_mid_cap, 50.0, 1, 0.999998152256, 0.999998152256, 0.999998152256, 1.0, 0.02, -0.98, 0.98, spf_1000_50_1.csv
Fail, SPF_mid_cap, 50.0, 1, 0.609347820282, 0.609347820282, 0.609347820282, -0.6, 0.02, -0.62, -0.58, spf_-600.0_50_1.csv
Pass, SPF_mid_cap, 50.0, 2, 0.999883830547, 0.999883830547, 0.999883830547, 1.0, 0.02, -0.98, 0.98, spf_1000_50_2.csv
Fail, SPF_mid_cap, 50.0, 2, 0.605487883091, 0.605487883091, 0.605487883091, -0.6, 0.02, -0.62, -0.58, spf_-600.0_50_2.csv
Pass, SPF_mid_cap, 50.0, 3, 0.999981939793, 0.999981939793, 0.999981939793, 1.0, 0.02, -0.98, 0.98, spf_1000_50_3.csv
Fail, SPF_mid_cap, 50.0, 3, 0.60240149498, 0.60240149498, 0.60240149498, -0.6, 0.02, -0.62, -0.58, spf_-600.0_50_3.csv
Pass, SPF_mid_cap, 20.0, 1, 0.999735832214, 0.999735832214, 0.999735832214, 1.0, 0.02, -0.98, 0.98, spf_1000_20_1.csv
Fail, SPF_mid_cap, 20.0, 1, 0.620606303215, 0.620606303215, 0.620606303215, -0.6, 0.02, -0.62, -0.58, spf_-600.0_20_1.csv
Pass, SPF_mid_cap, 20.0, 2, 0.999895215034, 0.999895215034, 0.999895215034, 1.0, 0.02, -0.98, 0.98, spf_1000_20_2.csv
Fail, SPF_mid_cap, 20.0, 2, 0.613515079021, 0.613515079021, 0.613515079021, -0.6, 0.02, -0.62, -0.58, spf_-600.0_20_2.csv
Pass, SPF_mid_cap, 20.0, 3, 0.999739289284, 0.999739289284, 0.999739289284, 1.0, 0.02, -0.98, 0.98, spf_1000_20_3.csv
Fail, SPF_mid_cap, 20.0, 3, 0.603095591068, 0.603095591068, 0.603095591068, -0.6, 0.02, -0.62, -0.58, spf_-600.0_20_3.csv
